democratic_party_therm,republican_party_therm,respondent_pid,respondent_race,respondent_gender,christ_fundementalist_therm,feminist_therm,labor_union_therm,poor_therm,big_biz_therm,rich_therm,police_therm,scientists_therm
0,70,7,1,1,70,50,50,70,70,50,70,70
15,85,6,1,1,50,50,50,50,40,50,40,70
50,50,3,1,1,40,50,60,60,70,50,70,70
30,70,5,1,1,60,50,40,50,40,50,70,50
70,40,3,1,2,85,70,85,85,50,70,85,85
15,30,5,1,1,50,50,2,50,70,50,85,50
85,15,1,2,1,70,50,70,100,50,50,85,100
0,40,4,1,2,60,40,70,100,40,85,85,60
15,60,5,6,1,15,50,30,50,60,30,100,70
50,50,3,1,2,50,50,60,50,50,50,85,85
40,70,5,5,1,40,50,70,100,50,85,50,85
15,50,2,1,1,70,15,40,85,40,50,100,85
85,30,1,1,2,15,85,85,85,50,60,70,70
60,50,1,1,1,50,15,50,60,50,60,60,70
70,15,1,5,1,15,70,70,70,60,60,70,100
30,70,7,1,1,85,100,85,100,70,100,85,100
70,15,1,1,2,15,100,50,100,40,50,85,100
40,60,6,1,2,50,50,60,100,40,60,85,85
15,70,6,1,2,60,50,85,100,50,60,70,50
40,80,6,1,2,10,40,75,50,40,90,100,90
40,60,5,1,2,70,40,40,60,60,70,85,60
15,40,5,6,1,100,50,50,100,85,85,85,85
50,50,4,1,2,85,50,50,100,60,100,100,100
85,15,3,1,1,30,100,85,100,70,50,85,100
30,50,4,1,2,85,60,60,60,40,50,100,70
70,70,2,1,2,15,70,70,100,40,85,85,70
0,85,7,1,2,85,60,50,85,85,85,100,50
0,60,5,1,1,100,0,15,60,60,50,100,60
40,50,6,1,2,85,40,40,100,50,50,40,50
60,40,2,1,1,15,50,50,50,40,60,70,70
15,85,7,1,1,60,40,30,40,50,60,30,30
60,85,3,5,1,70,70,85,100,85,100,70,100
85,30,2,2,2,70,100,100,70,40,50,30,60
15,70,7,1,2,50,40,60,50,40,50,85,60
100,0,1,2,2,100,85,50,100,60,70,85,100
0,100,7,1,1,100,50,85,85,100,85,100,100
0,60,5,1,2,20,10,60,80,5,80,90,90
60,30,2,1,2,15,85,60,70,70,70,60,70
60,60,4,5,2,85,70,100,100,85,50,85,70
30,85,5,1,1,30,40,85,85,30,50,100,70
70,40,1,6,1,15,50,70,60,15,30,30,70
85,40,1,1,2,60,50,75,50,60,50,85,80
30,70,6,1,1,60,70,60,85,60,40,100,85
70,15,1,1,2,15,85,50,85,50,50,50,85
70,15,1,1,2,70,85,70,85,40,50,85,70
30,70,5,1,1,50,50,30,60,50,50,70,60
85,40,1,2,2,50,50,85,85,85,70,85,70
50,50,5,1,1,50,50,50,60,50,50,100,60
30,50,6,1,2,50,60,50,60,50,50,100,85
85,30,1,1,1,15,85,70,85,50,40,85,85
40,40,5,1,2,70,50,70,60,70,50,100,85
60,40,5,1,2,60,85,40,85,30,50,100,100
70,30,1,1,1,30,85,70,100,40,50,60,100
60,50,2,5,2,50,50,50,50,50,50,40,50
85,15,1,2,2,50,60,50,85,15,50,85,100
70,15,1,6,1,30,70,70,85,60,70,85,85
70,40,3,5,2,30,100,70,100,30,50,85,100
85,30,2,5,2,50,85,85,85,70,85,85,85
50,85,6,3,1,85,70,60,85,70,70,85,50
30,60,5,1,2,70,30,50,50,15,50,100,50
30,15,3,1,1,15,85,60,100,30,50,85,70
50,50,5,1,2,50,40,50,50,40,50,70,50
70,50,1,1,1,60,40,70,70,30,40,50,70
85,0,1,5,2,30,80,100,60,60,100,30,100
40,30,3,2,1,15,60,60,70,60,60,60,85
75,10,3,1,1,30,70,50,50,40,50,60,70
60,30,3,1,1,50,60,30,70,30,50,85,85
15,15,5,1,1,70,40,70,85,40,70,70,70
50,100,7,1,2,70,60,50,50,85,100,70,60
85,0,2,2,2,85,50,50,85,50,50,50,50
95,10,1,1,1,100,50,50,50,50,85,100,100
40,40,5,6,2,50,40,60,50,30,50,70,50
50,60,6,1,1,50,50,30,70,40,50,70,70
40,40,4,1,2,50,40,60,60,50,40,85,70
30,70,6,1,2,85,40,70,70,40,70,100,70
85,15,1,1,2,30,70,60,60,40,40,60,70
85,0,1,1,2,30,60,50,50,40,50,60,50
50,50,4,1,1,85,70,60,60,60,60,85,70
85,30,1,1,2,35,95,50,100,15,50,95,100
15,50,7,1,1,0,15,0,50,30,60,80,50
70,50,1,6,2,50,50,50,70,85,100,55,50
40,30,3,1,1,40,60,50,60,50,40,50,70
70,70,6,1,1,40,85,85,85,70,70,85,85
100,0,3,1,2,40,100,50,70,0,50,50,50
70,70,3,5,1,70,30,60,60,50,50,100,50
40,60,5,1,2,50,15,50,50,50,50,100,50
15,85,5,1,2,70,60,60,70,60,60,70,85
40,60,5,6,1,40,50,30,60,40,50,60,70
50,50,3,5,1,50,50,50,60,50,50,50,60
70,40,2,5,1,60,50,85,70,60,60,40,100
0,60,4,1,2,50,100,70,100,0,50,100,70
30,60,5,1,1,50,85,40,85,50,60,100,100
85,50,1,5,1,50,85,100,100,70,85,100,100
100,0,1,1,2,50,50,85,100,50,30,100,70
40,60,6,1,2,50,15,40,40,15,15,60,70
50,50,5,1,2,50,40,50,40,30,50,70,60
15,40,5,3,2,40,50,50,60,60,60,85,85
0,70,6,1,1,70,0,40,50,70,60,100,60
60,60,6,5,2,70,70,60,70,60,70,85,70
60,30,3,1,2,30,100,70,85,60,100,85,100
40,60,6,1,1,50,40,30,50,50,50,60,60
50,60,5,1,1,50,50,40,50,50,60,85,50
30,70,5,5,2,85,0,40,70,70,70,85,50
0,100,7,1,2,70,50,85,100,100,70,85,100
60,40,3,1,1,0,60,100,85,0,0,50,100
60,50,1,1,1,60,70,70,100,60,40,70,100
65,35,3,1,2,10,90,65,90,20,15,50,80
40,60,6,1,2,60,60,50,50,60,50,70,60
40,85,7,1,2,100,50,30,100,70,100,100,70
30,70,5,1,2,100,70,85,85,85,85,100,85
85,0,1,1,2,15,100,50,100,15,50,70,100
50,60,7,1,2,50,40,60,70,70,60,85,85
50,50,4,1,2,50,50,50,70,50,50,70,50
70,30,2,5,1,85,15,50,85,70,70,85,70
85,0,3,1,1,15,40,50,50,40,15,30,85
100,50,1,1,1,85,100,85,100,85,85,100,100
70,15,2,2,1,60,50,100,60,85,70,50,85
70,15,1,1,1,15,60,60,60,30,40,70,85
30,40,5,1,2,50,40,40,70,50,70,85,85
60,60,5,1,1,60,50,70,85,40,50,85,85
70,15,2,6,2,70,60,60,70,15,70,15,85
40,40,5,1,1,60,30,70,50,15,50,100,100
0,15,5,5,1,50,85,0,85,60,70,100,70
70,50,1,1,2,40,70,100,85,40,50,85,85
90,0,1,1,2,0,100,85,85,30,60,40,100
40,40,3,5,1,30,70,50,100,40,40,60,100
