Class_in,Ethnic Marker,OCWhite,OCBlack,OCAIAN,OCChinese,OCFilipino,OCAsianIndian,OCVietnamese,OCKorean,OCJapanese,OCNatHaw,OCSamoan,OCChamorro,OCOPI,OCOther,OtherRace,PCWhite,PCLatino,PCBlack,PCAsian,PCAIAN,PCMENA,PCNHPI,StreetRace,LatinoIdentity,Other_LatIdentity,Crime_LI,Crime_I,Finance,Physical,Mental,Sleep,Tasks,Relationships,Discrim_Latino,Discrim_Black,Discrim_White,Discrim_Imm,Trump,Biden,Harris,Vance,AOC,Desantis,Newsom,Sanders,MTG,SCOTUS,Congress,CGA,MAGA,Democrat,Republican,American,Personal
2,,,,,,,,,,,,,,,,,,1,,,,,,1,11,,,5,4,2,1,1,2,2,,,1,,0,40,40,0,60,0,65,80,0,30,30,39,0,0,0,2,3
2,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,5,2,2,2,2,2,2,,,1,5,0,,50,0,75,0,60,100,0,31,50,50,0,71,0,2,4
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,3,2,1,2,2,2,,4,,4,0,71,83,0,90,14,80,91,0,29,40,57,0,60,22,3,3
2,,,,,,,,,,,,,,,,,1,1,,,,,,1,10,,,5,1,2,1,1,2,1,,5,,5,0,,70,0,80,0,70,80,0,30,20,,0,40,0,2,5
3,1,,,,,,1,,,,,,,,,,,,,,,,,2,1,,,3,2,2,1,2,2,2,5,,,5,9,21,30,40,,,71,35,,60,,,6,79,24,3,3
2,1,,,,,,,,,,,,,,1,Middle Eastern,,,,,,,,6,1,,5,,2,2,2,2,2,2,,,1,4,20,30,40,30,80,30,41,90,20,50,10,49,10,30,28,3,4
2,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,2,1,2,3,2,2,2,3,,,3,,,,,,,,,,,,,,,,3,3
1,,,,,,,,,,,,,,,,,1,,,1,,,,2,1,,,4,5,2,2,2,2,2,,,5,4,38,16,27,43,11,27,0,37,39,32,32,28,28,16,35,3,2
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,4,2,1,1,2,1,5,,,5,5,56,63,0,96,0,20,86,0,3,5,,0,43,20,3,4
1,1,,,,,,1,,,,,,,,,,,,,,,,,6,1,,,5,2,1,1,1,2,1,,,2,4,0,53,92,7,100,20,85,75,10,,39,70,0,81,20,,5
