Harris,Trump,Total,Winner,MostVotes,Margin,Arizona,Pennsylvania,Georgia,Michigan,Nevada,Wisconsin,NorthCarolina,TotalVotes
276,262,538,1,1,3.1,2,1,2,1,1,1,2,79.73
303,235,538,1,1,6,2,1,1,2,1,1,2,96.1
319,219,538,1,1,5,1,1,1,1,1,1,1,86
303,235,538,1,1,4,1,1,1,1,1,1,2,84.5
247,291,538,2,1,-8,2,2,2,1,1,2,2,79.2
266,272,538,2,1,-3.5,2,1,2,1,1,2,2,82
319,219,538,1,1,4,1,1,1,,1,1,2,79
303,235,538,1,1,2,1,1,2,1,1,1,2,85.6
247,291,538,2,1,-2,2,2,2,1,1,2,2,77.1
247,291,538,3,1,4,2,1,2,1,1,2,2,82.9
242,296,538,2,1,-2,2,2,2,1,1,2,2,87
247,291,538,2,1,4,2,2,2,1,1,2,2,51.3
293,245,538,1,1,4,1,1,1,1,1,2,2,84.6
319,219,538,1,1,6,1,1,1,1,1,1,1,84.1
277,261,538,1,1,4,1,1,2,1,1,2,2,81.3
287,251,538,1,1,5,1,1,2,1,1,1,2,80
282,256,538,1,1,2.2,2,1,,1,1,1,2,81.7
292,246,538,1,1,4.5,1,1,2,2,1,2,,88.5
247,291,538,2,1,-4,1,1,1,1,2,2,2,88.3
303,235,538,1,1,6,1,1,1,1,1,1,2,83.2
319,219,538,1,1,4,1,1,1,1,1,1,1,83.5
263,275,538,1,1,3,2,2,1,1,2,2,2,75.5
282,256,538,1,1,2,2,1,1,1,1,2,2,
303,235,538,1,2,4,2,1,2,1,1,1,2,78.2
262,276,538,2,1,3.5,2,2,2,2,1,1,1,84.1
267,271,538,2,1,4.8,2,2,1,2,1,1,2,84.5
282,256,538,1,1,2.3,2,1,1,1,2,1,2,83
266,272,538,2,1,4,2,1,2,1,1,2,2,82.4
287,251,538,1,1,4,1,1,2,1,1,1,2,83.7
343,195,538,1,1,2.4,1,1,2,1,2,1,1,82.8
277,261,538,1,1,4,1,1,2,1,1,2,2,83.8
265,273,538,2,1,-5.4,2,2,2,1,2,1,1,86.2
282,256,538,1,1,,,,,,,,,
266,272,538,2,1,,,,,,,,,
