Date,Total_detained,Convicted_criminal,Pending_criminal,Non_criminal,Proportion_convicted,Proportion_pending,Proportion_noncriminal,President
6/29/25,57861,16366,14318,27177,0.28,0.25,0.47,Trump2
6/15/25,56397,15964,14263,26170,0.28,0.25,0.46,Trump2
6/1/25,51302,15193,13671,22438,0.3,0.27,0.44,Trump2
5/18/25,48870,14909,12920,21041,0.31,0.26,0.43,Trump2
5/4/25,49005,15025,12730,21250,0.31,0.26,0.43,Trump2
4/20/25,49184,15190,11997,21997,0.31,0.24,0.45,Trump2
4/6/25,47928,14614,11065,22249,0.3,0.23,0.46,Trump2
3/23/25,47892,14369,10509,23014,0.3,0.22,0.48,Trump2
3/9/25,46269,13751,9437,23081,0.3,0.2,0.5,Trump2
2/23/25,43759,12804,8158,22797,0.29,0.19,0.52,Trump2
2/9/25,41169,11917,6714,22538,0.29,0.16,0.55,Trump2
1/26/25,39238,10703,5429,23106,0.27,0.14,0.59,Trump2
1/12/25,39703,10494,5360,23849,0.26,0.14,0.6,Biden
12/29/24,39152,10278,5271,23603,0.26,0.13,0.6,Biden
12/15/24,38406,10355,5204,22847,0.27,0.14,0.59,Biden
12/1/24,38728,10283,5084,23361,0.27,0.13,0.6,Biden
11/3/24,38863,10308,4967,23588,0.27,0.13,0.61,Biden
9/8/24,37395,10050,4874,22471,0.27,0.13,0.6,Biden
8/25/24,36223,10078,4818,21327,0.28,0.13,0.59,Biden
8/11/24,36326,10142,4752,21432,0.28,0.13,0.59,Biden
7/14/24,37004,10380,4605,22019,0.28,0.12,0.6,Biden
6/30/24,37509,10053,4459,22997,0.27,0.12,0.61,Biden
6/16/24,38525,10158,4452,23915,0.26,0.12,0.62,Biden
6/2/24,37360,9803,4311,23246,0.26,0.12,0.62,Biden
5/19/24,36571,9748,4303,22520,0.27,0.12,0.62,Biden
5/5/24,36603,9882,4146,22575,0.27,0.11,0.62,Biden
4/21/24,34373,9560,3961,20852,0.28,0.12,0.61,Biden
4/7/24,34580,9549,3830,21201,0.28,0.11,0.61,Biden
3/24/24,36931,9465,3721,23745,0.26,0.1,0.64,Biden
3/10/24,39111,9285,3646,26180,0.24,0.09,0.67,Biden
2/25/24,39175,9288,3548,26339,0.24,0.09,0.67,Biden
2/25/24,39175,9288,3548,26339,0.24,0.09,0.67,Biden
2/11/24,38258,9319,3468,25471,0.24,0.09,0.67,Biden
1/28/24,38498,9114,3412,25972,0.24,0.09,0.67,Biden
1/13/24,37782,9005,3355,25422,0.24,0.09,0.67,Biden
12/31/23,37131,9003,3332,24796,0.24,0.09,0.67,Biden
12/17/23,36263,8936,3115,24212,0.25,0.09,0.67,Biden
12/3/23,36755,8838,3074,24843,0.24,0.08,0.68,Biden
11/19/23,39013,8682,2979,27352,0.22,0.08,0.7,Biden
11/5/23,39748,8426,3008,28314,0.21,0.08,0.71,Biden
10/3/23,36845,8198,3013,25634,0.22,0.08,0.7,Biden
9/24/23,35289,8074,2966,24249,0.23,0.08,0.69,Biden
9/10/23,35589,8012,2942,24635,0.23,0.08,0.69,Biden
8/27/23,32743,8105,2994,21644,0.25,0.09,0.66,Biden
8/13/23,30184,8238,3121,18825,0.27,0.1,0.62,Biden
7/30/23,30438,8422,3325,18691,0.28,0.11,0.61,Biden
7/16/23,31064,8504,3230,19330,0.27,0.1,0.62,Biden
7/2/23,30003,8032,3022,18949,0.27,0.1,0.63,Biden
6/18/23,29613,8014,2913,18686,0.27,0.1,0.63,Biden
6/4/23,29914,7839,2751,19324,0.26,0.09,0.65,Biden
5/21/23,27330,7932,2693,16705,0.29,0.1,0.61,Biden
5/7/23,21293,7840,2509,10944,0.37,0.12,0.51,Biden
4/23/23,24944,8123,2667,14154,0.33,0.11,0.57,Biden
4/9/23,25753,8289,2580,14884,0.32,0.1,0.58,Biden
3/26/23,26898,8050,2563,16285,0.3,0.1,0.61,Biden
3/12/23,27723,7952,2579,17192,0.29,0.09,0.62,Biden
2/26/23,27010,7656,2515,16839,0.28,0.09,0.62,Biden
2/12/23,26410,7281,2434,16695,0.28,0.09,0.63,Biden
1/29/23,24170,7147,2291,14732,0.3,0.09,0.61,Biden
1/15/23,20892,7010,2172,11710,0.34,0.1,0.56,Biden
1/1/23,20506,7030,2259,11217,0.34,0.11,0.55,Biden
12/18/22,23060,7041,2301,13718,0.31,0.1,0.59,Biden
12/4/22,29026,6966,2413,19647,0.24,0.08,0.68,Biden
11/20/22,30001,6886,2385,20730,0.23,0.08,0.69,Biden
10/31/22,29984,6813,2395,20776,0.23,0.08,0.69,Biden
9/25/22,25134,6430,2040,16664,0.26,0.08,0.66,Biden
9/10/22,25776,6152,1991,17633,0.24,0.08,0.68,Biden
8/15/22,24127,5903,1778,16446,0.24,0.07,0.68,Biden
7/31/22,23390,5615,1606,16169,0.24,0.07,0.69,Biden
7/17/22,22886,5550,1538,15798,0.24,0.07,0.69,Biden
7/5/22,23156,5434,1402,16320,0.23,0.06,0.7,Biden
6/19/22,23390,5505,1343,16542,0.24,0.06,0.71,Biden
6/5/22,24591,5353,1327,17911,0.22,0.05,0.73,Biden
5/7/22,22281,5021,1226,16034,0.23,0.06,0.72,Biden
4/24/22,19502,4880,1177,13445,0.25,0.06,0.69,Biden
4/11/22,18846,4629,1082,13135,0.25,0.06,0.7,Biden
3/27/22,20733,4621,1079,15033,0.22,0.05,0.73,Biden
3/13/22,20146,4692,1049,14405,0.23,0.05,0.72,Biden
2/27/22,17984,4666,982,12336,0.26,0.05,0.69,Biden
2/13/22,19948,4727,999,14222,0.24,0.05,0.71,Biden
1/16/22,20886,4534,850,15502,0.22,0.04,0.74,Biden
1/2/22,22068,4471,860,16737,0.2,0.04,0.76,Biden
12/19/21,20623,4436,795,15392,0.22,0.04,0.75,Biden
12/5/21,21952,4559,931,16462,0.21,0.04,0.75,Biden
11/21/21,22438,4466,852,17120,0.2,0.04,0.76,Biden
10/1/21,22129,4537,852,16740,0.21,0.04,0.76,Biden
9/16/21,21566,4553,771,16242,0.21,0.04,0.75,Biden
9/13/21,23014,4443,808,17763,0.19,0.04,0.77,Biden
8/24/21,25162,4495,835,19832,0.18,0.03,0.79,Biden
8/6/21,25526,4502,971,20053,0.18,0.04,0.79,Biden
7/22/21,26771,4439,1078,21254,0.17,0.04,0.79,Biden
7/8/21,27217,4433,1117,21667,0.16,0.04,0.8,Biden
6/24/21,26222,4399,1100,20723,0.17,0.04,0.79,Biden
6/11/21,24463,4338,1037,19088,0.18,0.04,0.78,Biden
5/28/21,21519,4382,971,16166,0.2,0.05,0.75,Biden
5/13/21,19041,4490,686,13865,0.24,0.04,0.73,Biden
5/3/21,15697,4524,696,10477,0.29,0.04,0.67,Biden
4/14/21,15136,4765,826,9545,0.31,0.05,0.63,Biden
3/31/21,13914,5177,919,7818,0.37,0.07,0.56,Biden
3/17/21,14052,5857,1252,6943,0.42,0.09,0.49,Biden
2/25/21,13258,6746,1890,4622,0.51,0.14,0.35,Biden
2/11/21,14095,7362,2306,4427,0.52,0.16,0.31,Biden
1/22/21,14195,7598,2544,4053,0.54,0.18,0.29,Biden
1/7/21,15444,8189,2864,4391,0.53,0.19,0.28,Trump1
