Year,Apprehensions,Decade,Deportations,VR,Administrative,EnforcementReturns,Criminal,Noncriminal,Title 42,Foreign Born,Naturalized,Noncitizen,Unauthorized population,US Population,App_lagged,Dep_App
2022,2584220,,108733,261387,180266,81121,63266,45467,1103966,46182177,24509131,21673046,,333287557,1865379,5.829003114
2021,1865379,,85783,178003,128339,49664,61117,24666,1071074,45270103,24044083,21226020,10500000,332031554,609265,14.07975183
2020,609265,2010,237364,167452,113857,53595,119142,118222,206770,45101502,23613500,21488002,10350000,331511512,1175841,20.18674294
2019,1175841,2010,347090,171120,89719,81401,169898,177192,,44932901,23182917,21749984,10200000,328329953,739486,46.936656
2018,739486,2010,327608,159958,72756,87202,148203,179405,,44728721,22629737,22098984,10500000,326838199,607677,53.91153524
2017,607677,2010,284365,100452,15072,85380,108519,175846,,44525855,21948732,22577123,10500000,325122128,683782,41.58708477
2016,683782,2010,332331,106478,30341,76137,116734,215597,,43739345,21238372,22500973,10700000,323071755,596560,55.70789191
2015,596560,2010,324428,129636,43237,86399,122815,201613,,43290372,20697103,22593269,11000000,320738994,805334,40.28490043
2014,805334,2010,405193,163836,45666,118170,172395,232798,,42391794,19984738,22407056,11100000,318386329,786223,51.53665054
2013,786223,2010,432334,178972,44707,134265,198488,233846,,41348066,19294710,22053356,11200000,316059947,795735,54.3314043
2012,795735,2010,415579,231105,47361,183744,200039,215540,,40824658,18686237,22138421,11200000,313877662,678606,61.24010103
2011,678606,2010,390413,322045,60896,261149,189702,200711,,40377860,18140192,22237668,11500000,311583481,796587,49.01071697
2010,796587,2000,382449,471793,61895,409898,,,,39955854,17476082,22479772,11400000,309327143,889212,43.00987841
2009,889212,2000,379739,582557,59404,523153,,,,38517234,16846397,21670837,11300000,306771529,1043759,36.38186593
2008,1043759,2000,359795,811263,,,,,,37960935,16329909,21631026,11700000,304093966,960673,37.45239015
2007,960673,2000,319382,891390,,,,,,38059694,16181883,21877811,12200000,301231207,1206408,26.47379659
2006,1206408,2000,280974,1043381,,,,,,37547789,15767731,21780058,11600000,298379912,1291065,21.76296314
2005,1291065,2000,246431,1096920,,,,,,35689842,14967828,20722014,11600000,295516599,1264232,19.49254567
2004,1264232,2000,240665,1166576,,,,,,31107900,,,,292805298,1046422,22.9988475
2003,1046422,2000,211098,945294,,,,,,31107900,,,10100000,290107933,1062270,19.87234884
2002,1062270,2000,165168,1012116,,,,,,31107900,,,,287625193,1387486,11.90412011
2001,1387486,2000,189026,1349371,,,,,,31107900,,,,284968955,1814729,10.41621091
2000,1814729,1990,188467,1675876,,,,,,31107900,,,8600000,282162411,1714035,10.99551643
1999,1714035,1990,183114,1574863,,,,,,31107900,,,,272690813,1679439,10.90328378
1998,1679439,1990,174813,1570127,,,,,,31107900,,,7250000,270248003,1536520,11.37720303
1997,1536520,1990,114432,1440684,,,,,,31107900,,,,267783607,1649986,6.935331573
1996,1649986,1990,69680,1573428,,,,,,31107900,,,,265228572,1394554,4.996579552
1995,1394554,1990,50924,1313764,,,,,,31107900,,,5700000,262803276,1094719,4.651787354
1994,1094719,1990,45674,1029107,,,,,,19767300,,,,260327021,1327261,3.441222186
1993,1327261,1990,42542,1243410,,,,,,19767300,,,,257782608,1258481,3.380424496
1992,1258481,1990,43671,1105829,,,,,,19767300,,,,255029699,1197875,3.645705938
1991,1197875,1990,33189,1061105,,,,,,19767300,,,,252153092,1169939,2.836814569
1990,1169939,1980,30039,1022533,,,,,,19767300,,,3500000,249464396,954243,3.147940305
1989,954243,1980,34427,830890,,,,,,19767300,,,,246819230,1008145,3.414885756
1988,1008145,1980,25829,911790,,,,,,19767300,,,,244498982,1190488,2.169614477
1987,1190488,1980,24336,1091203,,,,,,19767300,,,,242288918,1767400,1.376937875
1986,1767400,1980,24592,1586320,,,,,,19767300,,,,240132887,1348749,1.823319239
1985,1348749,1980,23105,1041296,,,,,,19767300,,,,237923795,1246981,1.852875064
1984,1246981,1980,18696,909833,,,,,,14079900,,,,235824902,1251357,1.494058051
1983,1251357,1980,19211,931600,,,,,,14079900,,,,233791994,970246,1.980013316
1982,970246,1980,15216,812572,,,,,,14079900,,,,231664458,975780,1.55936789
1981,975780,1980,17379,823875,,,,,,14079900,,,,229465714,910361,1.909022904
1980,910361,1970,18013,719211,,,,,,14079900,,,,227224681,1076418,1.673420549
1979,1076418,1970,26825,966137,,,,,,14079900,,,,225055487,1057977,2.535499354
1978,1057977,1970,29277,975515,,,,,,14079900,,,,222584545,1042215,2.809113283
1977,1042215,1970,31263,867015,,,,,,14079900,,,,220239425,1097739,2.84794473
1976,1097739,1970,38471,955374,,,,,,14079900,,,,218035164,766600,5.018392904
1975,766600,1970,24432,655814,,,,,,14079900,,,,215973199,788145,3.099937194
1974,788145,1970,19413,718740,,,,,,9619300,,,,213853928,655968,2.959443144
1973,655968,1970,17346,568005,,,,,,9619300,,,,211908788,505949,3.428408792
1972,505949,1970,16883,450927,,,,,,9619300,,,,209896021,420126,4.018556338
1971,420126,1970,18294,370074,,,,,,9619300,,,,207660677,345353,5.297188674
1970,345353,1960,17469,303348,,,,,,9619300,,,,205052174,283557,6.160666109
1969,283557,1960,11030,240958,,,,,,9619300,,,,202676946,212057,5.201431691
1968,212057,1960,9590,179952,,,,,,9619300,,,,200706052,161608,5.934112173
1967,161608,1960,9728,142343,,,,,,9619300,,,,198712056,138520,7.02281259
1966,138520,1960,9680,123683,,,,,,9619300,,,,196560338,110371,8.770419766
1965,110371,1960,10572,95263,,,,,,9619300,,,,194302963,86597,12.20827511
1964,86597,1960,9167,73042,,,,,,9738100,,,,191888791,88712,10.33343854
1963,88712,1960,7763,69392,,,,,,9738100,,,,189241798,92758,8.369089459
1962,92758,1960,8025,54164,,,,,,9738100,,,,186537737,88823,9.034822062
1961,88823,1960,8181,52383,,,,,,9738100,,,,183691481,70684,11.57404788
1960,70684,1950,7240,52796,,,,,,9738100,,,,180671158,45336,15.96964884
1959,45336,1950,8468,56610,,,,,,9738100,,,,177829628,53474,15.83573325
1958,53474,1950,7875,60600,,,,,,9738100,,,,174881904,59918,13.14296205
1957,59918,1950,5989,63379,,,,,,9738100,,,,171984130,87696,6.829273855
1956,87696,1950,9006,80891,,,,,,9738100,,,,168903031,254096,3.544329702
1955,254096,1950,17695,232769,,,,,,9738100,,,,165931202,1089583,1.624015793
1954,1089583,1950,30264,1074277,,,,,,,,,,163025854,885587,3.417394338
1953,885587,1950,23482,885391,,,,,,,,,,160184192,543535,4.320236967
1952,543535,1950,23125,703778,,,,,,,,,,157552740,509040,4.542865001
1951,509040,1950,17328,673169,,,,,,,,,,154877889,468339,3.699884058
1950,468339,1940,10199,572477,,,,,,,,,,152271417,288253,3.538211224
1949,288253,1940,23874,276297,,,,,,,,,,149188130,192779,12.38412898
1948,192779,1940,25276,197184,,,,,,,,,,146631302,193657,13.05194235
1947,193657,1940,23434,195880,,,,,,,,,,144126071,99591,23.53023868
1946,99591,1940,17317,101945,,,,,,,,,,141388566,69164,25.03759181
1945,69164,1940,13611,69490,,,,,,,,,,139928165,31174,43.66138449
1944,31174,1940,8821,32270,,,,,,,,,,138397345,11175,78.93512304
1943,11175,1940,5702,11947,,,,,,,,,,136739353,11784,48.38764426
1942,11784,1940,5542,6904,,,,,,,,,,134859553,11294,49.07030282
1941,11294,1940,7336,6531,,,,,,,,,,133402471,10492,69.919939
1940,10492,1930,12254,8594,,,,,,,,,,132122446,12037,101.8027748
1939,12037,1930,14700,9590,,,,,,,,,,130879718,12851,114.3879854
1938,12851,1930,17341,9278,,,,,,,,,,129824939,13054,132.8405087
1937,13054,1930,16905,8788,,,,,,,,,,128824829,11728,144.1422237
1936,11728,1930,16195,8251,,,,,,,,,,128053180,11016,147.013435
1935,11016,1930,13877,7978,,,,,,,,,,127250232,10319,134.4800853
1934,10319,1930,14263,8010,,,,,,,,,,126373773,20949,68.08439544
1933,20949,1930,25392,10347,,,,,,,,,,125578763,22735,111.6868265
1932,22735,1930,26490,10775,,,,,,,,,,124840471,22276,118.9172203
1931,22276,1930,27886,11719,,,,,,,,,,124039648,20880,133.5536398
1930,20880,,24864,11387,,,,,,,,,,123076741,32711,76.01112776
1929,32711,,31035,25888,,,,,,,,,,121767000,23566,131.6939659
1928,23566,,30464,19946,,,,,,,,,,120509000,16393,185.8354176
1927,16393,,31417,15012,,,,,,,,,,119035000,12735,246.6980762
1926,12735,,31454,,,,,,,,,,,117397000,22199,141.6910672
1925,22199,,34885,,,,,,,,,,,115829000,,
1924,,,36693,,,,,,,,,,,114109000,,
1923,,,24280,,,,,,,,,,,111947000,,
1922,,,18076,,,,,,,,,,,110049000,,
1921,,,18296,,,,,,,,,,,108538000,,
1920,,,14557,,,,,,,,,,,106461000,,
1919,,,11694,,,,,,,,,,,104514000,,
1918,,,8866,,,,,,,,,,,103208000,,
1917,,,17881,,,,,,,,,,,103268000,,
1916,,,21648,,,,,,,,,,,101961000,,
1915,,,26675,,,,,,,,,,,100546000,,
1914,,,37651,,,,,,,,,,,99111000,,
1913,,,23399,,,,,,,,,,,97225000,,
1912,,,18513,,,,,,,,,,,95335000,,
1911,,,25137,,,,,,,,,,,93863000,,
1910,,,26965,,,,,,,,,,,92407000,,
1909,,,12535,,,,,,,,,,,90490000,,
1908,,,12971,,,,,,,,,,,88710000,,
1907,,,14059,,,,,,,,,,,85450000,,
1906,,,13108,,,,,,,,,,,85450000,,
1905,,,12724,,,,,,,,,,,83822000,,
1904,,,8773,,,,,,,,,,,82166000,,
1903,,,9316,,,,,,,,,,,80632000,,
1902,,,5439,,,,,,,,,,,79163000,,
1901,,,3879,,,,,,,,,,,77584000,,
1900,,,4602,,,,,,,,,,,76094000,,
1899,,,4052,,,,,,,,,,,,,
1898,,,3229,,,,,,,,,,,,,
1897,,,1880,,,,,,,,,,,,,
1896,,,3037,,,,,,,,,,,,,
1895,,,2596,,,,,,,,,,,,,
1894,,,1806,,,,,,,,,,,,,
1893,,,1630,,,,,,,,,,,,,
1892,,,2801,,,,,,,,,,,,,
