Year,Apprehensions,President,Party,PCGdp,Decade,Deportations,VR,Administrative,EnforcementReturns,Criminal,Noncriminal,Title 42,Foreign Born,Naturalized,Noncitizen,Unauthorized population,US Population,App_lagged
2022,2584220,Biden,1,77246.67,,108733,261387,180266,81121,63266,45467,1103966,46182177,24509131,21673046,,333287557,1865379
2021,1865379,Biden,1,71055.88,,85783,178003,128339,49664,61117,24666,1071074,45270103,24044083,21226020,10500000,332031554,609265
2020,609265,Trump,0,64317.40,2010,237364,167452,113857,53595,119142,118222,206770,45101502,23613500,21488002,10350000,331511512,1175841
2019,1175841,Trump,0,65548.07,2010,347090,171120,89719,81401,169898,177192,,44932901,23182917,21749984,10200000,328329953,739486
2018,739486,Trump,0,63201.05,2010,327608,159958,72756,87202,148203,179405,,44728721,22629737,22098984,10500000,326838199,607677
2017,607677,Trump,0,60322.26,2010,284365,100452,15072,85380,108519,175846,,44525855,21948732,22577123,10500000,325122128,683782
2016,683782,Obama2,1,58206.61,2010,332331,106478,30341,76137,116734,215597,,43739345,21238372,22500973,10700000,323071755,596560
2015,596560,Obama2,1,57040.21,2010,324428,129636,43237,86399,122815,201613,,43290372,20697103,22593269,11000000,320738994,805334
2014,805334,Obama2,1,55304.32,2010,405193,163836,45666,118170,172395,232798,,42391794,19984738,22407056,11100000,318386329,786223
2013,786223,Obama2,1,53409.75,2010,432334,178972,44707,134265,198488,233846,,41348066,19294710,22053356,11200000,316059947,795735
2012,795735,Obama1,1,51784.41,2010,415579,231105,47361,183744,200039,215540,,40824658,18686237,22138421,11200000,313877662,678606
2011,678606,Obama1,1,50065.98,2010,390413,322045,60896,261149,189702,200711,,40377860,18140192,22237668,11500000,311583481,796587
2010,796587,Obama1,1,48650.66,2000,382449,471793,61895,409898,,,,39955854,17476082,22479772,11400000,309327143,889212
2009,889212,Obama1,1,47194.95,2000,379739,582557,59404,523153,,,,38517234,16846397,21670837,11300000,306771529,1043759
2008,1043759,Bush2,0,48570.06,2000,359795,811263,,,,,,37960935,16329909,21631026,11700000,304093966,960673
2007,960673,Bush2,0,48050.23,2000,319382,891390,,,,,,38059694,16181883,21877811,12200000,301231207,1206408
2006,1206408,Bush2,0,46301.99,2000,280974,1043381,,,,,,37547789,15767731,21780058,11600000,298379912,1291065
2005,1291065,Bush2,0,44123.40,2000,246431,1096920,,,,,,35689842,14967828,20722014,11600000,295516599,1264232
