Year,Apprehensions,Deportations,VR,Period
2022,2584220,108733,261387,1
2021,1865379,85783,178003,1
2020,609265,237364,167452,1
2019,1175841,347090,171120,1
2018,739486,327608,159958,1
2017,607677,284365,100452,1
2016,683782,332331,106478,1
2015,596560,324428,129636,1
2014,805334,405193,163836,1
2013,786223,432334,178972,1
2012,795735,415579,231105,1
2011,678606,390413,322045,1
2010,796587,382449,471793,1
2009,889212,379739,582557,1
2008,1043759,359795,811263,1
2007,960673,319382,891390,1
2006,1206408,280974,1043381,1
2005,1291065,246431,1096920,1
2004,1264232,240665,1166576,1
2003,1046422,211098,945294,1
2002,1062270,165168,1012116,1
2001,1387486,189026,1349371,1
2000,1814729,188467,1675876,1
1999,1714035,183114,1574863,1
1998,1679439,174813,1570127,1
1997,1536520,114432,1440684,1
1996,1649986,69680,1573428,1
1995,1394554,50924,1313764,1
1994,1094719,45674,1029107,1
1993,1327261,42542,1243410,1
1992,1258481,43671,1105829,1
1991,1197875,33189,1061105,1
1990,1169939,30039,1022533,1
1989,954243,34427,830890,1
1988,1008145,25829,911790,1
1987,1190488,24336,1091203,1
1986,1767400,24592,1586320,1
1985,1348749,23105,1041296,1
1984,1246981,18696,909833,1
1983,1251357,19211,931600,1
1982,970246,15216,812572,1
1981,975780,17379,823875,1
1980,910361,18013,719211,1
1979,1076418,26825,966137,1
1978,1057977,29277,975515,1
1977,1042215,31263,867015,1
1976,1097739,38471,955374,1
1975,766600,24432,655814,1
1974,788145,19413,718740,1
1973,655968,17346,568005,1
1972,505949,16883,450927,1
1971,420126,18294,370074,1
1970,345353,17469,303348,1
1969,283557,11030,240958,1
1968,212057,9590,179952,1
1967,161608,9728,142343,1
1966,138520,9680,123683,1
1965,110371,10572,95263,1
1964,86597,9167,73042,1
1963,88712,7763,69392,1
1962,92758,8025,54164,1
1961,88823,8181,52383,1
1960,70684,7240,52796,1
1959,45336,8468,56610,1
1958,53474,7875,60600,1
1957,59918,5989,63379,1
1956,87696,9006,80891,1
1955,254096,17695,232769,1
1954,1089583,30264,1074277,1
1953,885587,23482,885391,1
1952,543535,23125,703778,1
1951,509040,17328,673169,1
1950,468339,10199,572477,1
1949,288253,23874,276297,1
1948,192779,25276,197184,1
1947,193657,23434,195880,1
1946,99591,17317,101945,1
1945,69164,13611,69490,1
1944,31174,8821,32270,1
1943,11175,5702,11947,1
1942,11784,5542,6904,1
1941,11294,7336,6531,1
1940,10492,12254,8594,1
1939,12037,14700,9590,1
1938,12851,17341,9278,1
1937,13054,16905,8788,1
1936,11728,16195,8251,1
1935,11016,13877,7978,1
1934,10319,14263,8010,1
1933,20949,25392,10347,1
1932,22735,26490,10775,1
1931,22276,27886,11719,1
1930,20880,24864,11387,1
1929,32711,31035,25888,1
1928,23566,30464,19946,1
1927,16393,31417,15012,1
1926,12735,31454,,1
1925,22199,34885,,1
1924,,36693,,1
1923,,24280,,1
1922,,18076,,1
1921,,18296,,1
1920,,14557,,1
1919,,11694,,1
1918,,8866,,1
1917,,17881,,1
1916,,21648,,1
1915,,26675,,1
1914,,37651,,1
1913,,23399,,1
1912,,18513,,1
1911,,25137,,1
1910,,26965,,1
1909,,12535,,1
1908,,12971,,1
1907,,14059,,1
1906,,13108,,1
1905,,12724,,1
1904,,8773,,1
1903,,9316,,1
1902,,5439,,1
1901,,3879,,1
1900,,4602,,1
1899,,4052,,1
1898,,3229,,1
1897,,1880,,1
1896,,3037,,1
1895,,2596,,1
1894,,1806,,1
1893,,1630,,1
1892,,2801,,1
2020,609265,237364,167452,4
2019,1175841,347090,171120,4
2018,739486,327608,159958,4
2017,607677,284365,100452,4
2016,683782,332331,106478,4
2015,596560,324428,129636,4
2014,805334,405193,163836,4
2013,786223,432334,178972,4
2012,795735,415579,231105,4
2011,678606,390413,322045,4
2010,796587,382449,471793,3
2009,889212,379739,582557,3
2008,1043759,359795,811263,3
2007,960673,319382,891390,3
2006,1206408,280974,1043381,3
2005,1291065,246431,1096920,3
2004,1264232,240665,1166576,3
2003,1046422,211098,945294,3
2002,1062270,165168,1012116,3
2001,1387486,189026,1349371,3
2000,1814729,188467,1675876,2
1999,1714035,183114,1574863,2
1998,1679439,174813,1570127,2
1997,1536520,114432,1440684,2
1996,1649986,69680,1573428,2
1995,1394554,50924,1313764,2
1994,1094719,45674,1029107,2
1993,1327261,42542,1243410,2
1992,1258481,43671,1105829,2
1991,1197875,33189,1061105,2
