Arrest_Month,All,Federal_Incarceration,State_Incarceration,Local_Incarceration,287gProgram,Community_Arrest,Other,President,ObamaTerm
2008-10,25672,2020,2328,14480,5,4072,2767,Bush,
2008-11,21177,1648,1855,12562,6,2857,2249,Bush,
2008-12,21874,1623,1958,12843,9,3032,2409,Bush,
2009-01,23625,1835,2223,13386,8,3569,2604,Bush,
2009-02,23099,1993,2020,13348,9,3159,2570,Obama,1
2009-03,25675,2255,2224,14866,8,3552,2770,Obama,1
2009-04,25658,2273,2632,14260,14,3688,2791,Obama,1
2009-05,25474,1831,3320,13489,19,4182,2633,Obama,1
2009-06,26807,1837,2375,14692,71,5419,2413,Obama,1
2009-07,28084,1872,2332,15283,285,6001,2311,Obama,1
2009-08,27423,2064,2044,14568,540,5662,2545,Obama,1
2009-09,26989,2235,2095,14184,625,5676,2174,Obama,1
2009-10,26008,2125,1925,13272,694,5741,2251,Obama,1
2009-11,23357,1876,1814,12305,723,4824,1815,Obama,1
2009-12,23262,2279,1759,12170,1044,4509,1501,Obama,1
2010-01,23461,2217,1908,11870,1478,4341,1647,Obama,1
2010-02,22838,2197,1788,11297,1936,4055,1565,Obama,1
2010-03,28052,2447,2290,14337,2831,4176,1971,Obama,1
2010-04,27127,2674,1945,13823,2734,4003,1948,Obama,1
2010-05,26680,2796,1879,13643,3559,3097,1706,Obama,1
2010-06,27677,2583,1942,14716,3588,3005,1843,Obama,1
2010-07,25076,2331,1735,13543,3472,2618,1377,Obama,1
2010-08,26942,2371,1948,14242,3583,3102,1696,Obama,1
2010-09,26775,2241,1756,14195,3506,3437,1640,Obama,1
2010-10,24761,2235,1770,13236,3310,3095,1115,Obama,1
2010-11,24014,2105,1802,13190,3147,2783,987,Obama,1
2010-12,23414,2040,1682,12641,2862,3126,1063,Obama,1
2011-01,24515,2128,1840,12834,2944,3564,1205,Obama,1
2011-02,23996,1966,1897,12627,2701,3364,1441,Obama,1
2011-03,28767,2515,2173,15135,3073,4114,1757,Obama,1
2011-04,25063,2538,1857,13553,2789,2867,1459,Obama,1
2011-05,27203,2695,1739,13938,2939,4193,1699,Obama,1
2011-06,26981,3115,2126,14282,2810,3130,1518,Obama,1
2011-07,25074,3111,1767,13258,2822,2687,1429,Obama,1
2011-08,27224,3252,2070,14626,3052,2640,1584,Obama,1
2011-09,27030,2813,1879,13661,2690,4415,1572,Obama,1
2011-10,24279,2579,1763,13036,2701,2950,1250,Obama,1
2011-11,23529,2458,1782,12212,2541,3034,1502,Obama,1
2011-12,22049,2460,1543,11565,2210,2885,1386,Obama,1
2012-01,22888,2450,1802,11886,2207,3102,1441,Obama,1
2012-02,22970,2444,2019,12053,2130,2838,1486,Obama,1
2012-03,26134,2467,1813,12606,2233,5038,1977,Obama,1
2012-04,22774,2437,1533,12403,2052,2794,1555,Obama,1
2012-05,24524,2471,1473,13018,2227,3870,1465,Obama,1
2012-06,22863,2466,1335,11973,2000,3789,1300,Obama,1
2012-07,22671,2434,1281,12425,2050,3380,1101,Obama,1
2012-08,23006,2636,1324,12494,2105,3479,968,Obama,1
2012-09,20274,2284,1149,11063,1901,2928,949,Obama,1
2012-10,21603,2624,1325,11223,1863,3367,1201,Obama,1
2012-11,19010,2400,1176,10026,1639,2843,926,Obama,1
2012-12,17366,2414,1100,8879,1567,2550,856,Obama,1
2013-01,18315,2221,1243,9155,1633,3187,876,Obama,1
2013-02,15800,2323,1116,7860,1434,2105,962,Obama,2
2013-03,17603,2464,1178,8424,1660,2819,1058,Obama,2
2013-04,20703,2700,1202,8732,1580,5331,1158,Obama,2
2013-05,18893,2647,1226,8850,1547,3540,1083,Obama,2
2013-06,16392,2220,1121,8034,1378,2440,1199,Obama,2
2013-07,17451,2428,1223,8688,1315,2588,1209,Obama,2
2013-08,18562,2464,1157,8709,1295,3734,1203,Obama,2
2013-09,17060,2441,1110,8574,1275,2738,922,Obama,2
2013-10,18051,2538,1245,8609,1239,3357,1063,Obama,2
2013-11,15339,2163,1009,7393,1121,2713,940,Obama,2
2013-12,15276,2418,1047,7729,1082,2251,749,Obama,2
2014-01,15768,2594,1094,7558,1048,2752,722,Obama,2
2014-02,14894,2419,1058,6928,993,2592,904,Obama,2
2014-03,16108,2404,1010,7190,1262,2858,1384,Obama,2
2014-04,16312,2489,1111,7069,1166,2904,1573,Obama,2
2014-05,15013,2370,1126,6471,672,2742,1632,Obama,2
2014-06,13787,2093,1152,5878,697,2533,1434,Obama,2
2014-07,13390,1865,1196,6257,650,2534,888,Obama,2
2014-08,12714,1654,1085,5975,599,2697,704,Obama,2
