dummy,pid7,raceidentity,whiteresp,latresp,blackresp,aapiresp,sex,education,income,AM1,AM2,AM3,AM4,beingamerican,EG1,EG2,EG3,EG4,egalitarian,MT1,MT2,moraltrad,TE1,TE2,TE3,trustexperts,CB1,CB2,conspiracy,GR1,GR2,genderroles,MS1,MS2,sexism,RR1,RR2,RR3,RR4,racialresent,GE1,GE2,GE3,GE4,groupempathy,MA1,MA2,minorityadapt,BI1,BI2,BI3,immbeliefs,FT1,FT2,FT3,FT4,freetrade,UB1,UB2,usbest,trumptherm,fundamentalist_therm,muslim_therm,christian_therm,jewish_therm,feminists_therm,lg_therm,trans_therm,police_therm,ice_therm,blm_therm,metoo_therm,who_therm,nato_therm,un_therm,nra_therm,planned_parenthood_therm,cdc_therm,fauci_therm,scientists_therm,interest,follow,policetreat,policeforce,religimport,climatechange,climateregulation,preweight,postweight,abortion,gunsowned,gunpurchase,gunaccess,gunbackground,gunassaultban,gunassaultbuyback,guncontrol,whitelat,abortcourt,court_therm
1,7,3,0,1,,0,0,4,21,0,1,3,2,6,0,0,0,4,4,2,4,3,2,4,4,3.333333,3,4,3.5,0,3,1.5,0,1,.5,4,0,4,4,3,4,4,4,4,4,4,3,3.5,1,0,3,1.333333,4,3,2,2,2.75,3,4,3.5,100,40,85,85,100,65,85,70,85,100,0,40,0,20,15,50,40,15,50,100,3,3,4,4,4,1,4,.9628091,1.005737,2,3,2,5,1,1,1,0,0,2,100
1,4,4,0,0,0,1,1,3,13,1,1,2,1,5,2,2,2,3,9,2,1,1.5,2,2,3,2.333333,3,2,2.5,3,3,3,1,1,1,2,3,3,1,2.25,2,2,3,3,2.5,2,2,2,2,1,1,1.333333,3,2,0,3,2,1,2,1.5,0,50,90,100,100,100,100,90,90,50,70,60,50,50,50,50,100,50,50,70,2,2,4,3,1,2,4,1.069085,1.163473,4,0,2,3,4,2,1,4,,7,50
1,3,1,1,0,0,0,1,2,17,0,0,2,1,3,4,4,4,4,16,0,0,0,2,3,4,3,0,0,0,3,3,3,0,1,.5,0,0,0,0,0,4,4,4,4,4,3,0,1.5,1,0,0,.3333333,3,2,2,2,2.25,2,2,2,0,0,100,30,100,75,100,100,40,0,80,80,80,80,75,0,80,80,100,100,4,4,7,3,3,5,7,.6834209,.7686811,4,0,3,4,7,7,4,15,1,7,25
1,6,4,0,0,0,1,0,3,7,2,2,3,2,9,4,0,2,3,9,1,3,2,4,3,4,3.666667,3,2,2.5,6,5,5.5,2,3,2.5,3,3,3,3,3,0,0,3,3,1.5,3,3,3,1,1,1,1,5,2,3,0,2.5,2,4,3,15,70,70,70,70,70,70,70,100,85,50,,100,60,100,,70,100,100,85,2,2,4,5,5,4,6,.500953,.5210195,1,0,2,4,7,7,7,18,,4,85
1,4,5,0,0,0,0,0,5,22,0,0,2,1,3,1,1,2,1,5,3,3,3,2,0,1,1,2,3,2.5,3,3,3,3,3,3,4,1,4,2,2.75,4,1,1,4,2.5,2,2,2,2,2,2,2,1,2,0,4,1.75,0,2,1,85,50,10,50,90,30,50,50,70,95,0,0,0,50,10,70,10,10,0,60,3,3,4,2,2,3,1,1.262294,.9657891,3,0,2,4,6,4,1,8,,2,60
1,3,1,1,0,0,0,1,3,3,2,2,3,1,8,3,1,2,3,9,2,2,2,3,3,4,3.333333,2,1,1.5,3,3,3,1,1,1,3,1,1,1,1.5,2,2,2,3,2.25,3,2,2.5,1,1,2,1.333333,3,3,2,2,2.5,2,2,2,0,50,50,85,100,60,70,70,70,40,70,50,70,50,50,15,60,70,85,85,3,3,6,3,3,3,7,.2690297,.2347078,4,0,3,3,7,7,7,18,1,4,60
1,6,1,1,0,0,0,1,3,4,2,2,3,2,9,4,2,0,4,10,0,4,2,2,3,3,2.666667,3,2,2.5,6,5,5.5,1,2,1.5,4,4,4,4,4,2,2,3,4,2.75,3,1,2,1,1,3,1.666667,5,3,2,2,3,0,2,1,75,60,60,60,60,60,60,70,60,70,0,70,70,70,85,85,70,85,0,85,3,2,4,3,1,3,6,.449005,.4407001,3,0,3,4,6,4,2,9,1,3,70
1,6,1,1,0,0,0,1,2,3,3,3,3,3,12,4,4,4,4,16,0,4,2,0,4,4,2.666667,4,4,4,3,3,3,1,0,.5,4,4,4,0,3,0,0,0,0,0,2,2,2,4,2,4,3.333333,3,2,2,2,2.25,4,4,4,100,,,100,50,100,,50,100,0,,,50,,,50,100,100,,,1,1,1,1,1,3,4,.6165815,.7694303,4,0,3,2,7,7,7,18,1,4,50
1,4,1,1,0,0,0,1,2,10,3,2,3,3,11,2,3,2,2,9,1,2,1.5,2,1,3,2,2,3,2.5,3,3,3,0,0,0,3,2,2,2,2.25,2,2,2,2,2,2,2,2,2,3,3,2.666667,3,2,1,2,2,3,4,3.5,0,,0,50,50,50,50,50,60,60,60,,,,60,,60,70,30,60,1,2,7,3,2,3,4,1.42627,1.421516,4,1,3,4,7,7,7,18,1,6,50
1,2,3,0,1,,0,0,3,11,2,0,0,1,3,2,3,2,0,7,1,2,1.5,2,2,4,2.666667,1,0,.5,5,3,4,1,2,1.5,4,1,4,2,2.75,2,3,2,2,2.25,1,1,1,1,1,2,1.333333,3,4,3,4,3.5,0,1,.5,0,50,50,50,50,50,50,50,70,0,50,,6,,50,50,70,70,50,50,3,3,6,4,2,3,4,2.22491,1.842216,4,2,1,4,6,4,7,14,0,4,50
1,1,3,0,1,,0,1,2,9,3,1,3,1,8,3,3,1,3,10,1,3,2,4,3,3,3.333333,1,0,.5,5,3,4,1,1,1,1,1,1,3,1.5,4,4,4,4,4,2,0,1,0,0,1,.3333333,3,2,2,2,2.25,0,0,0,0,50,50,85,50,0,0,0,50,0,0,,,,50,,,60,85,85,1,1,7,5,5,4,1,1.571632,1.548011,1,0,3,5,7,7,4,15,0,7,40
1,2,1,1,0,0,0,0,2,18,1,1,2,2,6,1,1,2,1,5,1,3,2,2,1,4,2.333333,1,1,1,3,3,3,0,0,0,1,1,1,0,.75,2,2,2,2,2,3,2,2.5,2,1,1,1.333333,3,2,2,2,2.25,1,3,2,0,50,50,,50,70,70,40,70,15,50,,50,50,,40,70,70,70,100,2,2,6,2,4,3,7,1.033738,1.251402,2,1,3,4,7,7,7,18,1,4,50
1,7,1,1,0,0,0,1,2,1,3,2,3,2,10,2,2,2,2,8,2,2,2,1,2,2,1.666667,2,2,2,3,3,3,2,3,2.5,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2.25,2,0,1,100,0,0,0,0,0,30,0,50,,0,0,,,,,85,50,50,70,4,4,4,4,2,3,4,.2495877,.2926324,4,0,3,3,7,4,4,12,1,4,0
1,2,4,0,0,0,1,0,5,21,1,1,2,1,5,4,4,3,4,15,3,3,3,3,2,4,3,2,2,2,3,3,3,0,0,0,1,1,0,2,1,3,3,3,3,3,1,2,1.5,0,0,0,0,3,3,2,3,2.75,0,1,.5,0,0,50,50,50,70,50,50,0,0,100,70,50,50,60,0,100,50,85,70,4,4,7,5,3,5,7,.5854641,.5152823,4,0,3,4,7,7,6,17,,6,30
1,3,2,0,0,0,0,1,3,3,2,2,3,2,9,4,4,4,3,15,1,3,2,3,3,3,3,0,1,.5,3,3,3,1,1,1,3,4,3,3,3.25,2,2,3,1,2,3,1,2,1,0,1,.6666667,1,2,2,3,2,0,2,1,40,50,60,85,60,60,50,50,60,60,70,60,70,70,,40,70,85,60,70,3,2,4,3,5,3,4,1.105499,1.343007,4,0,3,4,7,1,6,11,,4,60
1,5,3,0,1,,0,0,3,7,2,2,3,3,10,3,2,2,2,9,4,2,3,2,2,2,2,2,4,3,3,5,4,3,1,2,3,4,3,3,3.25,2,2,2,2,2,3,0,1.5,3,3,3,3,3,4,2,2,2.75,2,4,3,100,60,15,85,50,30,50,50,85,60,0,,30,50,30,100,40,40,30,70,3,3,4,3,3,2,4,.4528829,.4559954,3,2,1,5,1,4,1,3,0,4,60
1,3,1,1,0,0,0,0,4,22,1,0,2,2,5,4,2,3,4,13,1,3,2,4,3,4,3.666667,1,0,.5,6,6,6,0,0,0,1,1,2,1,1.25,1,2,1,2,1.5,3,0,1.5,1,0,1,.6666667,3,2,1,3,2.25,1,1,1,0,50,50,50,50,50,50,50,70,30,70,70,60,60,30,30,50,50,80,80,3,3,7,2,1,3,6,1.133491,1.217317,4,1,2,3,6,4,1,8,1,4,40
1,1,1,1,0,0,0,0,4,20,3,2,2,2,9,4,4,4,4,16,3,4,3.5,2,4,4,3.333333,2,1,1.5,3,1,2,0,1,.5,1,1,1,1,1,4,3,3,2,3,3,1,2,1,1,1,1,5,3,1,3,3,1,3,2,0,15,85,85,85,70,85,85,85,50,85,85,85,100,85,0,85,85,100,85,3,3,6,2,3,5,6,.7073436,.7418252,4,0,3,5,7,7,7,18,1,6,70
1,1,1,1,0,0,0,1,4,10,2,1,3,3,9,3,3,4,3,13,1,1,1,2,3,4,3,0,0,0,5,3,4,0,0,0,4,1,1,1,1.75,1,2,2,2,1.75,3,4,3.5,2,1,2,1.666667,6,4,2,4,4,1,2,1.5,15,30,50,70,60,60,70,50,70,40,60,85,50,70,60,0,60,70,100,85,3,3,4,3,5,5,7,.5920916,.6274318,4,0,3,5,7,7,2,13,1,7,70
1,2,1,1,0,0,0,1,2,5,1,1,2,1,5,3,2,3,3,11,1,3,2,2,3,3,2.666667,1,2,1.5,5,3,4,1,1,1,2,1,1,1,1.25,3,3,3,3,3,2,3,2.5,1,1,1,1,3,2,2,3,2.5,2,3,2.5,15,70,90,100,100,85,85,85,85,30,70,70,95,95,95,15,40,95,90,100,3,3,7,2,5,3,6,.5981446,.5498066,2,0,3,4,7,7,5,16,1,4,90
1,7,3,0,1,,0,0,5,12,2,3,3,2,10,0,0,1,3,4,3,3,3,2,1,1,1.333333,2,2,2,5,3,4,2,1,1.5,3,2,1,3,2.25,2,2,2,1,1.75,3,2,2.5,1,2,3,2,5,3,1,4,3.25,3,3,3,95,75,50,100,50,20,85,10,100,35,0,0,10,50,40,100,100,0,10,80,2,3,6,3,3,3,6,.9117973,1.106112,4,1,2,5,6,2,1,6,0,4,80
1,1,3,0,1,,0,1,1,6,0,0,2,0,2,4,4,4,4,16,1,2,1.5,1,2,4,2.333333,4,4,4,3,3,3,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,5,4,2,2,3.25,0,3,1.5,0,50,70,70,70,70,75,70,60,30,100,100,65,50,100,0,15,65,30,,3,2,7,4,4,5,7,2.391583,2.132439,3,0,3,5,7,7,4,15,0,4,40
