yeardecade,Exposure,Other,Skeletal remains,Undetermined
1981,0,0,0,1
1982,0,0,0,1
1985,0,0.33,0,0.67
1987,0,0,0,1
1990,0,1,0,0
1991,0,1,0,0
1992,0,1,0,0
1993,0,1,0,0
1994,0,0.75,0,0.25
1995,0,1,0,0
1996,0,0.92,0,0.08
1997,0,1,0,0
1998,0,1,0,0
1999,0,0.96,0,0.04
2000,0.55,0.32,0.13,0
2001,0.67,0.06,0.03,0.24
2002,0.61,0.2,0.05,0.14
2003,0.59,0.16,0.04,0.2
2004,0.44,0.28,0.02,0.27
2005,0.68,0.16,0.02,0.13
2006,0.41,0.2,0.06,0.33
2007,0.51,0.14,0.11,0.24
2008,0.37,0.22,0.19,0.22
2009,0.38,0.23,0.2,0.19
2010,0.42,0.11,0.27,0.19
2011,0.29,0.1,0.51,0.11
2012,0.2,0.11,0.56,0.12
2013,0.28,0.09,0.54,0.09
2014,0.11,0.06,0.75,0.08
2015,0.21,0.1,0.64,0.05
2016,0.27,0.05,0.6,0.07
2017,0.12,0.03,0.74,0.11
2018,0.2,0.05,0.64,0.11
2019,0.2,0.02,0.63,0.15
2020,0.22,0.08,0.57,0.13
2021,0.33,0.1,0.49,0.08
2022,0.29,0.06,0.52,0.13
2023,0.37,0.09,0.34,0.21
2024,0.36,0.08,0.35,0.21
2025,0.1,0.05,0.45,0.41
2026,0.26,0.14,0.44,0.16
