date,one,None,Level1,Level2,Level3,gender_binary
2022-10-01,101,62,16,9,14,79
2022-10-02,80,52,11,7,10,69
2022-10-03,708,523,102,35,48,501
2022-10-04,809,638,83,45,43,572
2022-10-05,870,708,75,47,40,590
2022-10-06,714,530,91,34,59,500
2022-10-07,568,387,116,32,33,411
2022-10-08,111,63,17,8,23,91
2022-10-09,69,41,8,9,11,63
2022-10-10,131,67,25,16,23,120
2022-10-11,852,660,106,37,49,614
2022-10-12,881,675,112,49,45,604
2022-10-13,846,642,91,57,56,597
2022-10-14,690,467,123,51,49,511
2022-10-15,111,54,19,15,23,95
2022-10-16,62,38,5,6,13,56
2022-10-17,756,579,82,45,50,544
2022-10-18,852,649,112,48,43,608
2022-10-19,810,645,89,37,39,583
2022-10-20,784,584,97,48,55,573
2022-10-21,589,380,115,35,59,443
2022-10-22,128,91,11,10,16,86
2022-10-23,131,103,7,6,15,103
2022-10-24,787,630,82,37,38,558
2022-10-25,904,733,88,35,48,611
2022-10-26,922,730,94,33,65,639
2022-10-27,869,671,99,45,54,601
2022-10-28,658,453,116,47,42,474
2022-10-29,110,88,8,4,10,88
2022-10-30,101,75,8,5,13,79
2022-10-31,769,604,84,35,46,526
2022-11-01,914,730,114,33,37,629
2022-11-02,884,682,112,33,57,628
2022-11-03,779,588,104,42,45,575
2022-11-04,734,502,131,44,57,562
2022-11-05,238,196,13,9,20,194
2022-11-06,86,45,14,9,18,75
2022-11-07,684,537,76,33,38,475
2022-11-08,952,779,90,45,38,627
2022-11-09,942,720,93,48,81,670
2022-11-10,802,532,161,45,64,580
2022-11-11,211,116,36,23,36,171
2022-11-12,101,70,11,7,13,81
2022-11-13,78,48,16,5,9,63
2022-11-14,726,576,84,31,35,493
2022-11-15,897,689,102,49,57,620
2022-11-16,877,693,89,41,54,587
2022-11-17,774,594,93,39,48,544
2022-11-18,603,392,106,53,52,453
2022-11-19,165,128,9,5,23,120
2022-11-20,108,80,15,7,6,85
2022-11-21,666,507,93,41,25,453
2022-11-22,763,589,99,36,39,542
2022-11-23,581,399,103,40,39,448
2022-11-24,65,33,10,5,17,59
2022-11-25,317,204,75,22,16,244
2022-11-26,47,29,8,6,4,38
2022-11-27,50,37,3,4,6,37
2022-11-28,767,597,105,34,31,527
2022-11-29,859,673,105,41,40,584
2022-11-30,848,631,114,38,65,605
2022-12-01,754,538,103,54,59,547
2022-12-02,610,358,152,51,49,475
2022-12-03,131,97,10,7,17,92
2022-12-04,179,140,13,14,12,130
2022-12-05,782,645,75,36,26,518
2022-12-06,810,644,94,39,33,538
2022-12-07,823,618,106,46,53,609
2022-12-08,776,592,83,45,56,541
2022-12-09,750,541,117,58,34,512
2022-12-10,292,246,15,8,23,219
2022-12-11,160,131,5,10,14,118
2022-12-12,746,577,86,44,39,524
2022-12-13,891,716,94,42,39,606
2022-12-14,877,665,109,49,54,625
2022-12-15,787,587,115,47,38,540
2022-12-16,613,394,118,41,60,451
2022-12-17,112,68,13,10,21,93
2022-12-18,75,45,7,13,10,63
2022-12-19,707,532,96,39,40,491
2022-12-20,849,673,96,32,48,588
2022-12-21,684,511,85,40,48,500
2022-12-22,566,416,73,33,44,399
2022-12-23,313,161,103,30,19,248
2022-12-24,47,19,5,8,15,44
2022-12-25,34,22,5,0,7,27
2022-12-26,65,32,17,6,10,62
2022-12-27,472,345,75,24,28,314
2022-12-28,507,400,66,19,22,350
2022-12-29,514,380,66,34,34,363
2022-12-30,343,201,96,27,19,265
2022-12-31,69,38,14,9,8,62
2023-01-01,51,38,5,4,4,40
2023-01-02,93,56,11,9,17,82
2023-01-03,708,591,74,19,24,500
2023-01-04,796,625,88,33,50,556
2023-01-05,774,603,89,43,39,511
2023-01-06,694,464,128,61,41,539
2023-01-07,182,146,11,7,18,118
2023-01-08,91,55,14,7,15,77
2023-01-09,770,597,103,41,29,505
2023-01-10,811,646,82,30,53,533
2023-01-11,871,674,100,48,49,594
2023-01-12,823,607,126,39,51,563
2023-01-13,731,477,151,60,43,536
2023-01-14,139,97,16,10,16,100
2023-01-15,183,132,12,12,27,137
2023-01-16,111,65,17,11,18,96
2023-01-17,924,761,94,39,30,607
2023-01-18,890,712,77,46,55,596
2023-01-19,872,658,115,56,43,612
2023-01-20,784,534,157,51,42,581
2023-01-21,186,146,21,8,11,122
2023-01-22,227,181,14,12,20,161
2023-01-23,900,720,99,33,48,622
2023-01-24,934,728,111,52,43,616
2023-01-25,974,762,110,47,55,675
2023-01-26,874,672,109,57,36,605
2023-01-27,743,499,139,53,52,547
2023-01-28,158,107,16,13,22,126
2023-01-29,64,32,11,13,8,62
2023-01-30,925,730,112,39,44,620
