record,uuid,date,s2,s3,s4,s5r1,s5r2,s5r3,s5r4,s5r5,s5r6,s5r7,s6,s6r22oe,origcat,state,akc,alc,arc,azc,cac,coc,ctc,dec,flc,gac,hic,iac,idc,ilc,inc,ksc,kyc,lac,mac,mec,mdc,mic,mnc,moc,msc,mtc,ncc,ndc,nec,nhc,nmc,nvc,njc,nyc,ohc,okc,orc,pac,ric,scc,sdc,tnc,txc,utc,vac,vtc,wac,wic,wvc,wyc,s9,educat,s10,q1,q2,splitassignment1,pipeq3r1,pipeq3r2,pipeq3none,q3,q3r8oe,pipeq4r3,pipeq4r2,pipeq4none,q4r1,q4r2,q4r3,q4r4,q4r5,q4r6,q4r7,q4r8,q4r9,q5,q6,q7,q8r1,q8r2,q8r3,q8r4,q8r5,q8r6,q8r7,q8r8,q8r9,q8r10,q8r11,q8r12,q9,q10,q11,q12,q13,q14r1,q14r2,q14r3,q14r4,q14r5,q15,q16,q17r1,q18,q19,q20r1,q20r2,q20r3,q20r4,q20r5,q21,q71,q22,q23,q24,q25,q26,q27,q28,q29r1,q29r2,q29r3,q29r4,q29r5,q29r6,q30r1,q30r2,q30r3,q30r4,q30r5,q30r6,q30r7,q30r8,oaxaca_treatments,q31,q32,q33,q34,q35r1,q35r2,q35r3,q35r4,q35r5,q36,q37,q37r8oe,q38,q38r8oe,q39,q40,q41,q42,q43,q44,q45,q46,q47,q48,q49,q50r1,q50r2,q50r3,q50r4,q50r5,q50r6,q50r7,q50r7oe,q51,q52r1,q52r2,q52r3,q52r4,q52r5,q52r6,q52r7,q52r8,q52r9,q52r10,q52r11,q52r12,q52r13,q52r14,q72,q53a,q53b,q54,q55,q56r1,q56r2,q56r3,q56r4,q56r5,q56r6,q56r7,q56r8,q56r9,q57,q58,q59,q60,q61,q62,q63r1,q63r2,q63r3,q63r4,q63r5,q63r6,q63r7,q64,q65,q66,q67,q68r1,q68r2,q68r3,q68r4,q68r5,q68r6,q68r7,q68r8,q69r1,q69r2,q69r3,q69r4,q69r5,q69r6,q69r7,q69r8,q69r9,q69r10,q69r11,q69r12,q69r13,q69r14,q69r15,q69r16,q69r17,q69r18,q69r19,q69r20,q69r21,q69r22,q69r23,q69r24,q69r25,q69r26,q69r27,q69r28,q69r29,q69r30,q69r31,q69r32,q69r31oe,q70,vlist,qtime,vmobiledevice,vmobileos,start_date,declang,weight
16,"23f2zrbsrcd4h8ze",22apr2025 15:29:00,6,2,2,0,1,0,0,0,0,0,13,"",1,14,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,73,2,2,0,1,0,3,"",0,1,0,2,2,2,2,2,2,2,2,1,,2,2,0,0,0,0,0,0,0,0,0,0,,1,5,5,5,,2,0,0,0,1,0,1,1,5,1,4,0,0,0,0,1,3,2,1,1,,2,1,8,4,2,2,2,2,2,2,0,1,0,0,0,0,0,0,2,1,2,1,3,0,0,0,0,1,4,,"",9,"",3,1,3,1,3,5,4,4,2,1,3,,,,,,,,"",,0,1,0,0,1,0,0,0,0,0,1,0,1,0,3,2,0,,,0,0,0,0,0,0,0,0,1,,2,2,2,3,3,0,0,0,0,1,0,0,,3,,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","61111",1,1264.28,6,6,22apr2025 14:57:00,"spanish",1.055465
20,"vmhkv0ju3390snf8",22apr2025 15:39:00,2,1,2,0,1,0,0,0,0,0,13,"",1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,4,2,1,18,1,1,1,0,0,2,"",1,0,0,2,2,3,3,3,3,2,3,2,1,,2,0,0,0,0,0,0,0,0,0,,0,1,2,1,1,2,,1,0,0,0,0,2,1,4,3,5,0,0,0,0,1,1,2,2,4,1,,1,3,4,2,3,3,2,1,3,1,0,0,0,0,0,0,0,4,4,5,1,4,0,0,0,0,1,4,1,"",,"",2,2,2,5,4,4,4,4,4,1,3,,,,,,,,"",,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,4,0,,,1,1,1,1,1,1,1,1,0,4,3,4,3,2,4,0,0,0,0,1,0,0,1,1,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","75454",1,2141.2,6,6,22apr2025 15:03:00,"english",.8361741
25,"b6vbg436twbgug5m",22apr2025 16:09:00,5,1,2,0,1,0,0,0,0,0,13,"",1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,1,2,36,2,1,1,0,0,1,"",1,0,0,3,2,3,2,2,2,2,2,3,3,,2,1,0,0,0,0,0,1,0,0,0,,0,1,5,3,2,,0,0,0,1,0,4,4,7,1,3,0,0,0,0,1,2,4,2,2,3,,4,10,2,2,2,2,2,1,2,0,0,0,0,0,0,0,1,3,1,5,2,2,0,0,0,0,1,2,4,"",,"",3,1,3,3,3,4,4,3,3,1,3,,,,,,,,"",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,,,0,0,0,0,0,0,0,0,1,,3,11,1,2,4,0,0,0,0,0,0,1,,4,,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","89122",1,2475.39,6,6,22apr2025 15:18:00,"spanish",1.127195
27,"5nh7ff3xyfquzn4p",29apr2025 16:39:00,5,1,2,0,1,0,0,0,0,0,12,"",2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,46,2,2,0,1,0,5,"",0,1,0,3,1,2,2,3,2,1,2,1,,1,2,1,0,0,0,0,0,1,0,1,,0,0,5,5,5,,4,0,0,0,1,0,2,1,7,3,3,0,0,0,0,1,3,3,2,2,,2,1,8,3,2,2,2,2,2,2,0,1,1,0,0,0,1,0,4,2,3,2,3,1,0,0,0,0,4,,"",3,"",3,2,2,1,2,4,4,2,2,3,3,,,,,,,,"",,1,1,0,1,1,0,1,0,1,1,1,1,1,0,2,4,0,,,0,0,0,0,0,0,0,0,1,,3,9,3,2,3,0,0,0,1,1,0,0,1,3,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","27025",1,1806.23,6,6,22apr2025 15:21:00,"spanish",1.127195
29,"xqyjra0zch2mep2t",26apr2025 13:50:00,5,2,2,0,1,0,0,0,0,0,7,"",4,10,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,27,2,2,0,1,0,1,"",0,1,0,3,2,2,2,3,2,2,2,2,,3,2,1,0,0,0,0,0,1,1,1,,0,0,5,5,5,,5,0,0,0,0,1,1,1,4,2,4,0,0,0,0,1,1,4,1,1,,3,1,2,3,3,2,3,2,2,2,0,1,1,0,0,0,0,0,4,2,3,2,4,1,0,0,0,0,3,,"",3,"",3,2,2,2,2,5,5,3,2,1,3,,,,,,,,"",,1,1,0,1,1,0,1,0,1,1,1,1,1,0,3,3,1,2,2,0,1,0,0,0,0,1,0,0,4,2,4,2,3,4,1,0,0,0,0,0,0,1,3,,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","33125",1,1671.54,6,6,22apr2025 15:24:00,"spanish",.7740075
32,"y87zsh56v5s4mdne",28apr2025 15:58:00,3,2,2,0,1,0,0,0,0,0,14,"",2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,39,2,2,0,1,0,4,"",0,1,0,2,2,2,2,2,2,2,2,2,,4,2,0,0,0,1,1,0,1,0,0,0,,0,5,5,5,,2,1,0,0,0,0,2,2,7,2,4,0,0,0,0,1,3,4,1,1,,2,1,12,2,2,2,2,2,2,2,0,1,1,0,1,0,1,0,4,2,3,2,3,0,0,0,1,0,2,,"",3,"",2,2,2,1,2,4,4,3,2,1,3,,,,,,,,"",,1,1,0,1,1,0,1,1,1,1,1,1,1,0,2,3,0,,,1,0,0,0,0,0,0,0,0,1,3,10,1,1,2,0,0,0,0,1,1,0,,2,1,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","28807",1,2438.4,6,6,22apr2025 15:36:00,"spanish",.9933786
34,"ra3qybppsvpz9eqt",22apr2025 16:22:00,6,2,2,0,1,0,0,0,0,0,17,"",3,10,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,1,31,2,1,1,0,0,1,"",1,0,0,2,2,2,3,2,2,2,2,2,1,,2,0,0,0,0,0,0,0,0,0,,0,1,2,3,2,3,,0,0,1,0,0,1,1,7,1,5,0,0,0,0,1,1,3,1,1,2,,1,1,4,2,2,2,2,2,2,0,0,0,0,0,0,0,1,4,3,3,3,3,0,0,0,0,1,1,3,"",,"",3,1,2,1,4,5,5,4,4,1,3,,,,,,,,"",,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2,2,0,,,0,0,0,0,0,0,0,0,1,,3,6,1,2,4,1,0,0,0,0,0,0,1,2,2,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","33134",1,1691.14,6,6,22apr2025 15:41:00,"spanish",1.088448
37,"hs2fcdsxj6f3hn60",22apr2025 16:19:00,3,1,2,0,1,0,0,0,0,0,13,"",1,10,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,54,2,2,0,1,0,6,"",0,1,0,2,2,3,2,2,2,2,2,2,,4,2,0,0,0,0,0,0,0,0,0,,0,1,4,3,2,,3,0,0,0,1,0,1,1,7,2,2,0,0,0,0,1,1,3,1,2,,2,1,10,4,2,2,2,2,2,2,0,0,0,0,0,1,1,0,2,3,3,1,5,0,0,0,0,1,3,,"",4,"",3,1,4,3,4,5,3,4,4,1,3,,,,,,,,"",,0,1,0,0,1,0,1,1,0,1,1,1,1,0,3,3,0,,,0,1,0,0,0,0,1,0,0,1,2,5,2,4,4,0,0,0,0,0,0,1,1,3,,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","32773",1,1662.72,6,6,22apr2025 15:51:00,"spanish",.8431421
38,"jsgybzgk1u0ef2fy",23apr2025 17:06:00,6,2,2,0,1,0,0,0,0,0,4,"",3,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,4,2,1,49,2,1,1,0,0,3,"",1,0,0,3,2,3,3,3,3,2,3,3,1,,1,0,0,0,0,0,0,0,1,1,,1,0,4,5,4,4,,0,0,1,0,0,1,2,4,3,4,0,0,0,0,1,3,1,2,2,2,,3,4,2,3,3,3,2,2,2,0,1,1,1,1,0,0,0,4,2,3,2,4,0,1,0,1,0,2,3,"",,"",3,2,1,1,2,4,4,2,2,2,3,,,,,,,,"",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,,0,1,0,0,0,0,1,0,0,1,3,3,3,2,4,0,0,0,0,0,0,1,2,2,1,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","78209",1,2595.18,6,6,22apr2025 15:51:00,"english",.9499183
42,"brbhf2rc0kx44w79",23apr2025 17:44:00,4,1,2,0,1,0,0,0,0,0,21,"",3,11,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,32,1,2,0,1,0,3,"",0,1,0,2,2,2,2,2,2,2,2,2,,1,2,0,0,0,0,0,0,0,0,0,0,,1,4,4,4,,4,0,0,0,0,1,2,2,7,3,4,0,0,0,0,1,1,1,2,2,,2,1,6,2,2,3,3,2,1,2,0,0,0,1,1,0,0,0,2,2,3,2,4,0,0,0,0,1,3,,"",3,"",2,2,1,1,2,4,4,2,2,3,3,,,,,,,,"",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,,1,0,0,0,0,0,1,0,0,4,3,3,4,1,3,0,0,0,0,1,1,0,,3,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","30043",1,2116.95,6,6,22apr2025 16:12:00,"english",.7233339
