year,month,obs,yearmonth,remainsmonth
2000,1,1,200001,4
2000,2,1,200002,7
2000,3,1,200003,6
2000,4,1,200004,5
2000,5,1,200005,11
2000,6,1,200006,15
2000,7,1,200007,5
2000,8,1,200008,7
2000,9,1,200009,6
2000,10,1,200010,4
2000,11,1,200011,3
2000,12,1,200012,1
2001,1,1,200101,1
2001,2,1,200102,2
2001,4,1,200104,2
2001,5,1,200105,20
2001,6,1,200106,16
2001,7,1,200107,16
2001,8,1,200108,4
2001,9,1,200109,7
2001,10,1,200110,1
2001,11,1,200111,6
2001,12,1,200112,2
2002,1,1,200201,3
2002,2,1,200202,4
2002,3,1,200203,3
2002,4,1,200204,7
2002,5,1,200205,10
2002,6,1,200206,36
2002,7,1,200207,22
2002,8,1,200208,29
2002,9,1,200209,20
2002,10,1,200210,8
2002,11,1,200211,2
2002,12,1,200212,3
2003,1,1,200301,5
2003,2,1,200302,10
2003,3,1,200303,2
2003,4,1,200304,7
2003,5,1,200305,22
2003,6,1,200306,17
2003,7,1,200307,36
2003,8,1,200308,22
2003,9,1,200309,12
2003,10,1,200310,6
2003,11,1,200311,10
2003,12,1,200312,6
2004,1,1,200401,7
2004,2,1,200402,9
2004,3,1,200403,13
2004,4,1,200404,16
2004,5,1,200405,13
2004,6,1,200406,28
2004,7,1,200407,25
2004,8,1,200408,15
2004,9,1,200409,19
2004,10,1,200410,10
2004,11,1,200411,9
2004,12,1,200412,5
2005,1,1,200501,5
2005,2,1,200502,7
2005,3,1,200503,7
2005,4,1,200504,9
2005,5,1,200505,26
2005,6,1,200506,17
2005,7,1,200507,69
2005,8,1,200508,19
2005,9,1,200509,17
2005,10,1,200510,3
2005,11,1,200511,7
2005,12,1,200512,10
2006,1,1,200601,4
2006,2,1,200602,5
2006,3,1,200603,19
2006,4,1,200604,17
2006,5,1,200605,16
2006,6,1,200606,30
2006,7,1,200607,33
2006,8,1,200608,11
2006,9,1,200609,12
2006,10,1,200610,7
2006,11,1,200611,7
2006,12,1,200612,7
2007,1,1,200701,18
2007,2,1,200702,10
2007,3,1,200703,11
2007,4,1,200704,12
2007,5,1,200705,26
2007,6,1,200706,35
2007,7,1,200707,46
2007,8,1,200708,22
2007,9,1,200709,6
2007,10,1,200710,12
2007,11,1,200711,9
2007,12,1,200712,7
2008,1,1,200801,4
2008,2,1,200802,10
2008,3,1,200803,3
2008,4,1,200804,17
2008,5,1,200805,11
2008,6,1,200806,37
2008,7,1,200807,20
2008,8,1,200808,20
2008,9,1,200809,10
2008,10,1,200810,9
2008,11,1,200811,5
2008,12,1,200812,16
2009,1,1,200901,7
2009,2,1,200902,8
2009,3,1,200903,15
2009,4,1,200904,9
2009,5,1,200905,15
2009,6,1,200906,25
2009,7,1,200907,33
2009,8,1,200908,25
2009,9,1,200909,15
2009,10,1,200910,8
2009,11,1,200911,14
2009,12,1,200912,16
2010,1,1,201001,14
2010,2,1,201002,16
2010,3,1,201003,10
2010,4,1,201004,14
2010,5,1,201005,15
2010,6,1,201006,22
2010,7,1,201007,57
2010,8,1,201008,21
2010,9,1,201009,14
2010,10,1,201010,16
2010,11,1,201011,13
2010,12,1,201012,10
2011,1,1,201101,4
2011,2,1,201102,15
2011,3,1,201103,14
2011,4,1,201104,12
2011,5,1,201105,5
2011,6,1,201106,25
2011,7,1,201107,20
2011,8,1,201108,26
2011,9,1,201109,14
2011,10,1,201110,15
2011,11,1,201111,17
2011,12,1,201112,11
2012,1,1,201201,12
2012,2,1,201202,13
2012,3,1,201203,7
2012,4,1,201204,11
2012,5,1,201205,16
2012,6,1,201206,20
2012,7,1,201207,28
2012,8,1,201208,12
2012,9,1,201209,6
2012,10,1,201210,8
2012,11,1,201211,11
2012,12,1,201212,10
2013,1,1,201301,7
2013,2,1,201302,11
2013,3,1,201303,12
2013,4,1,201304,14
2013,5,1,201305,23
2013,6,1,201306,29
2013,7,1,201307,31
2013,8,1,201308,12
2013,9,1,201309,9
2013,10,1,201310,4
2013,11,1,201311,6
2013,12,1,201312,7
2014,1,1,201401,12
2014,2,1,201402,7
2014,3,1,201403,10
2014,4,1,201404,11
2014,5,1,201405,11
2014,6,1,201406,19
2014,7,1,201407,13
2014,8,1,201408,9
2014,9,1,201409,10
2014,10,1,201410,10
2014,11,1,201411,8
2014,12,1,201412,7
