NAME,Total_Population,Pop_18_Over,Percent_18_over,prop_pop_white,prop_pop_black,prop_pop_hispanic,prop_pop_asian,prop_pop_aina,prop_pop_nhpi,prop_pop_multi,over18_white,over18_black,over18_hispanic,over18_asian,percent_VAP_registered,percent_VAP_voted,est_number_registered,,est_number_registered_KFF,est_number_voted_KFF,,prop_reg_white,prop_reg_black,prop_reg_asian,prop_reg_hispanic,prop_voted_white,prop_voted_black,prop_voted_asian,prop_voted_hispanic,est_white_reg,est_black_reg,est_asian_reg,est_hispanic_reg,est_white_reg_voters,est_black_reg_voters,est_asian_reg_voters,est_hispanic_reg_voters,,republican_white,democrat_white,ind_white,republican_black,democrat_black,ind_black,republican_hispanic,democrat_hispanic,ind_hispanic,republican_asian,democrat_asian,ind_asian,NAME,white_biden,white_trump,black_biden,black_trump,latino_biden,latino_trump,asian_biden,asian_trump,biden_vote,trump_vote
Alabama,5074296,3962734,78.1,0.645,0.252,0.048,0.014,0.002,0.0001,0.039,2555963,998609,190211,55478,0.673,0.454,2666920,1799081,2499000,1688000,Alabama,0.695,0.636,0.553,0.497,0.453,0.47,0.412,0.273,1776395,635115,30679,94535,1157851,469346,22857,51928,1701982,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Alabama,21,77,89,11,,,,,849624,1441170
Alaska,733583,557060,75.9,0.577,0.028,0.073,0.061,0.128,0.016,0.116,321424,15598,40665,33981,0.722,0.546,402197,304155,373000,282000,Alaska,0.797,0.591,0.288,0.593,0.639,0.37,0.103,0.335,256175,9218,9786,24115,205390,5771,3500,13623,228284,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Alaska,,,,,,,,,153778,189951
Arizona,7359197,5770187,78.4,0.518,0.043,0.325,0.035,0.033,0.001,0.044,2988957,248118,1875311,201957,0.699,0.558,4033361,3219764,3560000,2844000,Arizona,0.706,0.585,0.676,0.621,0.575,0.423,0.447,0.4,2110204,145149,136523,1164568,1718650,104954,90275,750124,2664003,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Arizona,46,52,,,61,37,,,1672143,1661686
Arkansas,3045637,2348518,77.1,0.677,0.141,0.085,0.015,0.004,0.004,0.074,1589947,331141,199624,35228,0.622,0.439,1460778,1030999,1360000,961000,Arkansas,0.635,0.586,0.462,0.262,0.461,0.361,0.293,0.126,1009616,194049,16275,52301,732965,119542,10322,25153,887982,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Arkansas,,,,,,,,,423932,760647
California,39029342,30523315,78.2,0.337,0.051,0.404,0.153,0.002,0.003,0.049,10286357,1556689,12331419,4670067,0.673,0.515,20542191,15719507,17032000,13044000,California,0.697,0.646,0.59,0.607,0.55,0.433,0.423,0.421,7169591,1005621,2755340,7485171,5657496,674046,1975438,5191528,13498509,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,California,51,47,82,15,75,23,76,22,11110250,6006429
Colorado,5839926,4624351,79.2,0.65,0.036,0.226,0.031,0.004,0.001,0.052,3005828,166477,1045103,143355,0.721,0.613,3334157,2834727,3162000,2687000,Colorado,0.738,0.55,0.7,0.628,0.638,0.283,0.582,0.431,2218301,91562,100348,656325,1917718,47113,83433,450440,2498703,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Colorado,57,41,,,58,38,,,1804352,1364607
Connecticut,3626205,2895175,79.8,0.62,0.097,0.183,0.047,0.001,0.0001,0.052,1795009,280832,529817,136073,0.704,0.496,2038203,1436007,1778000,1253000,Connecticut,0.713,0.724,0.502,0.564,0.53,0.379,0.238,0.353,1279841,203322,68309,298817,951355,106435,32385,187025,1277201,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Connecticut,,,,,,,,,1080831,714717
Delaware,1018396,810269,79.6,0.59,0.211,0.103,0.041,0.001,0.0001,0.054,478059,170967,83458,33221,0.766,0.542,620666,439166,578000,409000,Delaware,0.795,0.663,0.754,0.688,0.588,0.401,0.475,0.378,380057,113351,25049,57419,281099,68558,15780,31547,396983,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Delaware,,,,,,,,,296268,200603
District of Columbia,671803,547328,81.5,0.363,0.422,0.119,0.039,0.0001,0.0001,0.055,198680,230972,65132,21346,0.824,0.629,450998,344269,393000,300000,District of Columbia,0.876,0.776,0.751,0.706,0.697,0.571,0.482,0.451,174044,179235,16031,45983,138480,131885,10289,29375,310028,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,District of Columbia,,,,,,,,,317323,18586
Florida,22244823,17948469,80.7,0.508,0.144,0.273,0.028,0.001,0,0.046,9117822,2584580,4899932,502557,0.632,0.49,11343432,8794750,9770000,7575000,Florida,0.642,0.599,0.57,0.577,0.508,0.416,0.398,0.402,5853642,1548163,286458,2827261,4631854,1075185,200018,1969773,7876829,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Florida,37,62,89,10,53,46,,,5297045,5666871
Georgia,10912876,8402753,77,0.498,0.306,0.104,0.044,0.001,0.001,0.047,4184571,2571242,873886,369721,0.694,0.569,5831511,4781166,5275000,4323000,Georgia,0.709,0.683,0.609,0.546,0.595,0.54,0.51,0.433,2966861,1756159,225160,477142,2489820,1388471,188558,378393,4445241,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Georgia,30,69,88,11,62,37,,,2473633,2461854
Hawaii,1440196,1142870,79.4,0.195,0.011,0.108,0.359,0.001,0.094,0.232,222860,12572,123430,410290,0.639,0.5,730294,571435,651000,509000,Hawaii,0.685,0.705,0.617,0.589,0.554,0.534,0.522,0.358,152659,8863,253149,72700,123464,6713,214172,44188,388537,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Hawaii,,,,,,,,,366130,196864
Idaho,1939033,1475629,76.1,0.793,0.005,0.135,0.013,0.008,0.002,0.043,1170174,7378,199210,19183,0.647,0.483,954732,712729,917000,685000,Idaho,0.664,0.01,0.112,0.355,0.5,0.01,0.054,0.219,776995,74,2149,70720,585087,74,1036,43627,629824,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Idaho,,,,,,,,,554119,287021
Illinois,12582032,9861901,78.4,0.585,0.13,0.184,0.06,0.001,0,0.04,5769212,1282047,1814590,591714,0.692,0.521,6824435,5138050,6110000,4600000,Illinois,0.71,0.614,0.581,0.499,0.543,0.458,0.399,0.293,4096141,787177,343786,905480,3132682,587178,236094,531675,4487628,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Illinois,,,,,,,,,3471950,2446891
Indiana,6833037,5263114,77,0.761,0.091,0.078,0.025,0.001,0,0.044,4005230,478943,410523,131578,0.665,0.419,3499971,2205245,3259000,2056000,Indiana,0.681,0.56,0.507,0.574,0.438,0.322,0.29,0.184,2727561,268208,66710,235640,1754291,154220,38158,75536,2022204,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Indiana,,,,,,,,,1242498,1729857
Iowa,3200517,2476028,77.4,0.829,0.036,0.068,0.024,0.001,0.002,0.039,2052627,89137,168370,59425,0.739,0.518,1829785,1282583,1732000,1215000,Iowa,0.757,0.405,0.447,0.579,0.538,0.291,0.09,0.255,1553839,36100,26563,97486,1104313,25939,5348,42934,1178535,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Iowa,43,55,76,22,67,31, , ,759061,897672
Kansas,2937150,2246318,76.5,0.733,0.046,0.131,0.03,0.004,0.0001,0.055,1646551,103331,294268,67390,0.761,0.594,1709448,1334313,1587000,1239000,Kansas,0.761,0.708,0.876,0.563,0.591,0.605,0.743,0.406,1253025,73158,59033,165673,973112,62515,50070,119473,1205170,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Kansas,,,,,,,,,570323,771406
Kentucky,4512310,3507735,77.7,0.825,0.074,0.041,0.014,0.001,0.0001,0.045,2893881,259572,143817,49108,0.718,0.523,2518554,1834545,2321000,1690000,Kentucky,0.724,0.666,0.285,0.511,0.535,0.379,0.285,0.177,2095170,172875,13996,73491,1548227,98378,13996,25456,1686056,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Kentucky,33,66,71,25,,,,,772474,1326646
Louisiana,4590241,3528548,76.9,0.571,0.306,0.057,0.018,0.004,0.0001,0.044,2014801,1079736,201127,63514,0.679,0.482,2395884,1700760,2215000,1574000,Louisiana,0.705,0.631,0.333,0.521,0.49,0.494,0.171,0.266,1420435,681313,21150,104787,987252,533389,10861,53500,1585003,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Louisiana,,,,,,,,,856034,1255776
Maine,1385340,1137442,82.1,0.905,0.016,0.02,0.009,0.004,0.0001,0.045,1029385,18199,22749,10237,0.756,0.638,859906,725688,856000,722000,Maine,0.758,0.436,0.57,0.425,0.647,0.436,0.57,0.425,780274,7935,5835,9668,666012,7935,5835,9668,689450,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Maine,,,,,,,,,,
