Weight,Week,MPW,RE,TL,Minutes,MPW_running
189.3,1,11.89,83,266,106,11.89
188.2,2,11.2,83,275,99,11.2
185.8,3,44.12,187,474,176,19.47
185.6,4,45.77,153,549,120,13.65
183.9,5,51.12,342,797,238,27.34
183.1,6,48.93,333,799,237,26.94
182.8,7,57.18,531,1085,333,36.67
182.3,8,49.09,299,990,191,22.01
180.2,9,71.7,530,1364,313,36.13
179.8,10,37.84,102,701,84,10
179.3,11,35.23,167,889,75,9
180.1,12,39.24,280,898,181,19.94
177.9,13,46.56,408,1042,191,22.52
176.6,14,46.93,305,1047,134,16.13
176,15,43.1,204,959,109,12.7
176,16,50.29,356,1113,313,25.01
175.7,17,29.82,153,592,60,7.01
176.4,18,55.12,588,1307,319,26.01
176.6,19,54.89,721,1190,298,35.12
177.1,20,47.71,675,1123,258,30.53
